Parent Type,Parent Name,Parent Version,Child Name,Qty in DMA,Qty in PLM,Diff
DITTO,AKD0002590085,--B,DTR0009907525,0,1,-1
DITTO,AKD0002613437,--A,DTR0009907059,1,0,1
DITTO ASSY,AKD0002590086,--C,DTR0000606823,1,0,1
DITTO,AKD0002600790,--A,AKD0002392079,6,0,6
ASSEMBLY,AK00002590093,--A,AKD0002590134,0,2,-2
ASSEMBLY,AK00002600923,--A,AKD0002600924,0,1,-1
BOUGHT,DTR0009907724,--A,DTR0009907724,0,1,-1
ASSEMBLY,AK00002590093,--A,AK00002591912,0,1,-1
DITTO ASSY,AKD0002590086,--C,DTR0000521212,1,0,1
DITTO ASSY,AKD0002590086,--C,DTR0009907709,1,0,1
DITTO ASSY,AKD0002590085,--B,DTR0009907735,0,1,-1
STUDY,AK00002600788,--A,AKD0002600790,1,0,1
DITTO,AKD0002590083,--A,DTR0000550274,4,0,4
ASSEMBLY,AK00002596414,--C,AK00002596415,1,0,1
DITTO ASSY,AKD0002590086,--B,DTR0009907237,0,1,-1
DITTO ASSY,AKD0002590086,--C,DTR0000521214,1,0,1
DITTO ASSY,AKD0002590085,--B,DTR0000521217,0,1,-1
DITTO ASSY,AKD0002590086,--C,DTR0000521208,1,0,1
BOUGHT,DTR0009907052,--A,DTR0009907052,0,6,-6
DITTO,AKD0002590085,--B,DTR0009907328,0,1,-1
BOUGHT,DTR0000378261,--A,DTR0000378261,2,1,1
ASSEMBLY,AK00002591912,--A,AKD0002591932,0,1,-1
ASSEMBLY,AK00002600923,--A,AKD0002600925,0,1,-1
BOUGHT,DTR0000606840,--A,DTR0000606840,1,0,1
DITTO ASSY,AKD0002590086,--B,DTR0009909559,0,1,-1
DITTO ASSY,AKD0002590086,--C,DTR0009907842,1,0,1
DITTO,AKD0002590132,--A,DTR0000113815,4,0,4
DITTO ASSY,AKD0002590085,--B,DTR0009907525,0,1,-1
BOUGHT,DTR0009907772,--A,DTR0009907772,0,4,-4
DITTO ASSY,AKD0002590086,--C,DTR0009907228,1,0,1
DITTO,AKD0002596423,--A,DTR0000260155,1,0,1
SINGLE PART,AK00002616444,--A,AKD0002616446,1,0,1
DITTO ASSY,AKD0002590086,--C,DTR0000606829,1,0,1
DITTO ASSY,AKD0002590086,--B,DTR0009907094,0,1,-1
ASSEMBLY,AK00002590093,--B,AK00002590109,1,0,1
ASSEMBLY,AK00002600901,--B,AKD0002590086,0,2,-2
SINGLE PART,AK00002616444,--A,AKD0002616449,1,0,1
BOUGHT,DTR0000265009,--A,DTR0000265009,0,4,-4
DITTO,AKD0002596420,--B,DTR0000174952,1,0,1
ASSEMBLY,AK00002600901,--B,AKD0002590083,0,2,-2
ASSEMBLY,AK00002596419,--B,AKD0002596421,1,0,1
ASSEMBLY,AK00002596419,--B,AKD0002596420,1,0,1
BOUGHT,DTR0009907771,--A,DTR0009907771,0,4,-4
DITTO ASSY,AKD0002590085,--C,DTR0009907094,1,0,1
ASSEMBLY,AK00002590109,--A,AKD0002590130,2,1,1
DITTO,AKD0002590085,--B,DTR0009907045,0,2,-2
DITTO,AKD0002590086,--B,DTR0009907052,0,1,-1
DITTO ASSY,AKD0002590086,--B,DTR0009907708,0,1,-1
ASSEMBLY,AK00002590093,--B,AKD0002590134,2,0,2
ASSEMBLY,AK00002600923,--B,AKD0002600924,1,0,1
DITTO,AKD0002600790,--A,DTR0000521218,2,0,2
ASSEMBLY,AK00002600901,--C,AK00002596414,1,0,1
BOUGHT,DTR0009907708,--A,DTR0009907708,1,0,1
ASSEMBLY,AK00002590093,--B,AK00002591912,1,0,1
ASSEMBLY,AK00002600901,--C,AKD0002590084,2,0,2
BOUGHT,DTR0021158630,--A,DTR0021158630,1,0,1
DITTO ASSY,AKD0002590085,--B,DTR0009907328,0,1,-1
DITTO,AKD0002572157,--B,DTR0009908999,8,0,8
BOUGHT,DTR0000029140,--A,DTR0000029140,1,0,1
BOUGHT,DTR0009908114,--A,DTR0009908114,0,7,-7
SINGLE PART,AK00002616444,--A,AKD0002616445,1,0,1
DITTO ASSY,AKD0002590086,--B,DTR0009907059,0,1,-1
DITTO ASSY,AKD0002590085,--C,DTR0009907262,1,0,1
ASSEMBLY,AK00002590093,--A,AKD0002590135,0,1,-1
DITTO ASSY,AKD0002590085,--C,DTR0000521201,1,0,1
STUDY,AK00002600788,--A,AKD0002600792,1,0,1
DITTO,AKD0002590086,--B,DTR0009907237,0,1,-1
DITTO,AKD0002590085,--B,DTR0009907276,0,1,-1
ASSEMBLY,AK00002600923,--B,AKD0002600925,1,0,1
ASSEMBLY,AK00002590093,--A,AK00002590103,0,1,-1
DITTO,AKD0002600930,--A,DTR0025211213,6,0,6
BOUGHT,DTR0000606822,--A,DTR0000606822,1,0,1
ASSEMBLY,AK00002600901,--B,AKD0002590085,0,2,-2
DITTO,AKD0002572157,--B,DTR0009909002,40,0,40
DITTO ASSY,AKD0002590085,--B,DTR0009907045,0,1,-1
DITTO ASSY,AKD0002590086,--B,DTR0009907724,0,1,-1
